Time,Voltage
15.1309,-0.0268053
15.1318,-0.00254622
15.1328,0.0610296
15.1338,0.064519
15.1348,-0.0518113
15.1357,-0.146068
15.1367,-0.143966
15.1377,-0.137623
15.1387,-0.198657
15.1396,-0.215686
15.1406,-0.108182
15.1416,-0.0791636
15.1426,-0.0207556
15.1436,0.399735
15.1445,0.747333
15.1455,0.613968
15.1465,0.354133
15.1475,0.116121
15.1484,-0.172804
15.1494,-0.341886
15.1504,-0.347053
15.1514,-0.323413
15.1523,-0.293477
15.1533,-0.289978
15.1543,-0.417699
15.1553,-0.424141
15.1563,-0.0454535
15.1572,0.243392
15.1582,0.0432119
15.1592,-0.240316
15.1602,-0.145751
15.1611,0.368884
15.1621,0.949503
15.1631,1.14709
15.1641,0.933481
15.165,0.548761
15.166,0.215204
15.167,0.064649
15.168,-0.0491995
15.1689,-0.330604
15.1699,-0.628772
15.1709,-0.658667
15.1719,-0.508549
15.1729,-0.477653
15.1738,-0.599169
15.1748,-0.699259
15.1758,-0.625424
15.1768,-0.239284
15.1777,0.400543
15.1787,0.831203
15.1797,0.776841
15.1807,0.527526
15.1816,0.276071
15.1826,-0.0118201
15.1836,-0.245374
15.1846,-0.353636
15.1855,-0.3678
15.1865,-0.310815
